İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Boya-değişen,Tramer,Maksimum Hız,Price
01 Aralık 2023,Hyundai,i20,1.4 CRDi Elite,2016,85.600 km,Düz,Dizel,Hatchback/5,Beyaz,1396 cc,90 hp,4.1 lt,2 boyalı,Tramer  1.200 TL,175 km/s,795.000 TL
01 Aralık 2023,Renault,Symbol,1.5 dCi Authentique,2009,202.000 km,Düz,Dizel,Sedan. 5 Koltuk,Bej,1461 cc,85 hp,4.5 lt,1 değişen. 8 boyalı,Tramer tutarı Belirtilmemiş,160 km/s,495.000 TL
01 Aralık 2023,Opel,Astra,1.6 Edition Plus,2016,43.042 km,Düz,Benzin,Sedan,Siyah,1598 cc,115 hp,6.5 lt,Tamamı orjinal,Tramer  2.000 TL,193 km/s,765.000 TL
01 Aralık 2023,Fiat,Egea,1.4 Fire Urban Plus,2021,18.000 km,Düz,Benzin,Sedan,Mavi,1368 cc,95 hp,5.7 lt,1 değişen,Tramer tutarı belirtilmemiş,185 km/s,680.000 TL
01 Aralık 2023,Renault,R 19,1.6 Europa RTE,2001,331.856 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1598 cc,90 hp,,2 değişen. 7 boyalı,Tramer tutarı yok,187 km/s,232.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Combi 1.3 Multijet Safeline,2011,127.000 km,Düz,Dizel,Camlı Van,Beyaz,1248 cc,90 hp,,1 boyalı,Tramer tutarı Belirtilmemiş,156 km/s,345.000 TL
01 Aralık 2023,Renault,Clio,1.5 dCi Icon,2017,136.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1461 cc,90 hp,3.7 lt,3 boyalı,Bu araç ağır hasar kayıtlıdır.,176 km/s,562.500 TL
01 Aralık 2023,Peugeot,301,1.6 HDi Allure,2015,109.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1560 cc,93 hp,4.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,180 km/s,499.000 TL
01 Aralık 2023,Chevrolet,Aveo,1.4 SE,2011,85.068 km,Otomatik,Benzin,Sedan. 5 Koltuk,Gri,1399 cc,100 hp,6.8 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,175 km/s,500.000 TL
01 Aralık 2023,Hyundai,Getz,1.5 CRDi VGT,2006,229.085 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1493 cc,110 hp,4.5 lt,2 boyalı,Tramer tutarı Belirtilmemiş,180 km/s,350.000 TL
01 Aralık 2023,Hyundai,Getz,1.5 CRDi VGT,2006,310.000 km,Düz,Dizel,Hatchback/5,Mavi (metalik),1493 cc,88 hp,4.5 lt,2 değişen. 7 boyalı,Tramer  13.000 TL,173 km/s,330.000 TL
01 Aralık 2023,Ford,Focus,1.6 Ti-VCT Trend X,2018,18.000 km,Düz,Benzin,Sedan,Beyaz,1596 cc,125 hp,6 lt,2 boyalı,Tramer  24.000 TL,192 km/s,850.000 TL
01 Aralık 2023,Hyundai,i20,1.4 MPI Style,2020,59.500 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Beyaz,1368 cc,100 hp,6.1 lt,Tamamı orjinal,Tramer tutarı yok,176 km/s,832.500 TL
01 Aralık 2023,Volkswagen,Passat,1.6 TDi Comfortline,2014,200.000 km,Otomatik,Dizel,Sedan,Beyaz,,,,Belirtilmemiş,Tramer tutarı yok,,1.000.000 TL
01 Aralık 2023,Tofaş,Şahin,1.6,1993,123.456 km,Düz,LPG & Benzin,Sedan,Beyaz,1581 cc,51 - 75 HP,,1 boyalı,Tramer tutarı yok,,135.000 TL
01 Aralık 2023,Renault,Clio,1.5 dCi Dynamique,2007,294.000 km,Düz,Dizel,Hatchback/3. 5 Koltuk,Mavi (metalik),1461 cc,86 hp,4.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,174 km/s,395.000 TL
01 Aralık 2023,Toyota,Corolla,1.33 Life,2014,159.000 km,Düz,LPG & Benzin,Sedan. 5 Koltuk,Beyaz,1329 cc,99 hp,5.8 lt,Tamamı orjinal,Tramer tutarı belirtilmemiş,180 km/s,715.000 TL
01 Aralık 2023,Kia,Ceed,1.6 CRDi Motion,2012,147.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Gri (metalik),1582 cc,115 hp,4.5 lt,2 boyalı,Tramer tutarı yok,188 km/s,610.000 TL
01 Aralık 2023,Citroen,C5,1.6 HDi SX PK,2012,310.000 km,Düz,Dizel,Sedan,Siyah,1560 cc,111 hp,5.6 lt,4 boyalı,Tramer tutarı yok,191 km/s,560.000 TL
01 Aralık 2023,Renault,Fluence,1.5 dCi Touch,2016,185.000 km,Düz,Dizel,Sedan,Beyaz,1461 cc,90 hp,4.5 lt,4 boyalı,Tramer tutarı Belirtilmemiş,180 km/s,650.000 TL
01 Aralık 2023,Audi,A5,A5 Coupe 1.4 TFSI Sport,2021,400 km,Yarı Otomatik,Benzin,Coupe,Altın,1395 cc,150 hp,5.3 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,216 km/s,400.000 TL
01 Aralık 2023,Fiat,Linea,1.3 Multijet Active Plus,2012,240.000 km,Düz,Dizel,Sedan,Beyaz,1248 cc,95 hp,4.9 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,170 km/s,475.000 TL
01 Aralık 2023,Fiat,Punto,Grande 1.4 Fire Active,2006,59.000 km,Düz,Benzin,Hatchback/5,Gri,1368 cc,77 hp,5.9 lt,5 boyalı,Tramer tutarı Belirtilmemiş,165 km/s,419.000 TL
01 Aralık 2023,BMW,5 Serisi,520i Executive,2015,109.000 km,Otomatik,Benzin,Sedan,Beyaz,1592 cc,170 hp,6.7 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,226 km/s,1.825.000 TL
01 Aralık 2023,Kia,Rio,1.4 CVVT Concept Plus,2015,88.000 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1396 cc,109 hp,6.3 lt,3 boyalı,Tramer  5.500 TL,170 km/s,625.000 TL
01 Aralık 2023,Land Rover,Range Rover,3.0 SDV6 Autobiography,2020,51.000 km,Otomatik,Dizel,Crossover,Siyah,2993 cc,300 hp,8.6 lt,Tamamı orjinal,Tramer tutarı yok,241 km/s,12.500.000 TL
01 Aralık 2023,Ford,Fiesta,1.4 TDCi Comfort,2004,335.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1399 cc,68 hp,4.3 lt,1 değişen. 2 boyalı,Tramer tutarı belirtilmemiş,164 km/s,370.000 TL
01 Aralık 2023,Ford,Fiesta,1.4 TDCi Trend,2011,102.000 km,Düz,Dizel,Hatchback/5,Beyaz,1398 cc,70 hp,4.2 lt,Tamamı orjinal,Tramer tutarı yok,162 km/s,525.950 TL
01 Aralık 2023,Renault,Clio,1.2 Joy,2013,91.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Beyaz,1149 cc,75 hp,5.5 lt,2 boyalı,Tramer tutarı yok,164 km/s,519.950 TL
01 Aralık 2023,Fiat,Fiorino,Fiorino Combi 1.4 Fire Premio,2023,11.750 km,Düz,Benzin,Minibüs,Beyaz,1368 cc,77 hp,,Tamamı orjinal,Tramer tutarı belirtilmemiş,157 km/s,589.900 TL
01 Aralık 2023,Fiat,Egea,1.4 Fire Easy,2021,67.957 km,Düz,Benzin,Sedan. 5 Koltuk,Beyaz,1368 cc,95 hp,5.7 lt,2 boyalı,Tramer tutarı belirtilmemiş,185 km/s,585.750 TL
01 Aralık 2023,Skoda,Octavia,1.6 Classic,2008,356.000 km,Düz,LPG & Benzin,Hatchback/5. 5 Koltuk,Kırmızı,1595 cc,102 hp,7.2 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,190 km/s,490.000 TL
01 Aralık 2023,Mercedes - Benz,230,E,1988,675.000 km,Otomatik,LPG & Benzin,Sedan,Lacivert,2001/2500 cm3,126/150 HP,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,350.000 TL
01 Aralık 2023,Dacia,Lodgy,1.5 dCi Stepway,2016,880.000 km,Düz,Dizel,MPV,Mavi,1461 cc,110 hp,4.4 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,175 km/s,600.000 TL
01 Aralık 2023,Honda,Jazz,1.4 Fun,2010,200.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1339 cc,100 hp,5.5 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,182 km/s,535.000 TL
01 Aralık 2023,Opel,Corsa,1.2 Twinport Essentia,2006,142.000 km,Düz,LPG & Benzin,Hatchback/5. 5 Koltuk,Beyaz,1229 cc,80 hp,6.1 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,168 km/s,345.000 TL
01 Aralık 2023,Mercedes - Benz,250,D,1985,736.000 km,Düz,Dizel,Sedan,Gri,2001/2500 cm3,76/100 HP,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,290.000 TL
01 Aralık 2023,Ford,Focus,1.6 Comfort,2004,773.000 km,Düz,LPG & Benzin,Sedan,Bordo,1596 cc,100 hp,6.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,185 km/s,310.000 TL
01 Aralık 2023,Chevrolet,Cruze,1.6 LS,2011,121.606 km,Düz,LPG & Benzin,Sedan,Siyah,1598 cc,124 hp,6.5 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,190 km/s,555.000 TL
01 Aralık 2023,Renault,R 19,1.6 Europa RNE,1998,285.000 km,Düz,Benzin,Sedan,Kırmızı,1598 cc,90 hp,,Belirtilmemiş,Tramer tutarı yok,187 km/s,195.000 TL
01 Aralık 2023,Volkswagen,Jetta,1.2 TSi BlueMotion Trendline,2017,214.000 km,Düz,Benzin,Sedan,Beyaz,1197 cc,105 hp,5 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,194 km/s,718.500 TL
01 Aralık 2023,Dacia,Logan,1.6 MCV Black Line,2011,150.000 km,Düz,LPG & Benzin,Station wagon,Beyaz,1598 cc,90 hp,7.9 lt,5 boyalı,Tramer tutarı yok,167 km/s,475.000 TL
01 Aralık 2023,Mazda,323,1.6 GLX,1997,219.000 km,Düz,LPG & Benzin,Sedan,Yeşil (metalik),1597 cc,88 hp,,Tamamı orjinal,Tramer tutarı yok,,274.000 TL
01 Aralık 2023,Renault,Clio,1.5 dCi Touch,2017,205.000 km,Düz,Dizel,Hatchback/5,Füme,1461 cc,90 hp,3.6 lt,2 boyalı,Tramer tutarı yok,180 km/s,590.000 TL
01 Aralık 2023,Mazda,Lantis,1.8,1998,340.000 km,Düz,LPG & Benzin,Sedan,Kırmızı,1840 cc,122 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,,215.750 TL
01 Aralık 2023,Peugeot,2008,1.5 BlueHDI GT,2021,55.000 km,Otomatik,Dizel,Crossover,Kırmızı,1499 cc,132 hp,3.8 lt,Tamamı orjinal,Tramer tutarı yok,195 km/s,1.365.000 TL
01 Aralık 2023,Hyundai,i20 Troy,1.2 DOHC Mode,2012,126.444 km,Düz,Benzin,Hatchback/5,Gri,1248 cc,78 hp,5.1 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,165 km/s,555.000 TL
01 Aralık 2023,Fiat,Palio,1.3 Multijet SL,2004,190.444 km,Düz,Dizel,Hatchback/5,Mavi,1248 cc,70 hp,4.6 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,164 km/s,325.750 TL
01 Aralık 2023,Fiat,Punto,Grande 1.3 Multijet Dynamic,2007,242.004 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1248 cc,90 hp,4.6 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,175 km/s,445.000 TL
01 Aralık 2023,Chevrolet,Aveo,1.2 SE,2011,195.004 km,Düz,LPG & Benzin,Sedan,Gri,1150 cc,72 hp,6.4 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,157 km/s,405.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Combi 1.6 Multijet Maxi Premio Plus,2017,140.444 km,Düz,Dizel,Camlı Van,Beyaz,1598 cc,105 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,164 km/s,685.000 TL
01 Aralık 2023,Fiat,Fiorino,Fiorino Combi 1.3 Multijet Premio,2016,74.004 km,Düz,Dizel,Camlı Van,Gri,1248 cc,95 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,170 km/s,565.000 TL
01 Aralık 2023,Honda,Civic,1.6 i-VTEC Elegance,2011,210.004 km,Otomatik,LPG & Benzin,Sedan. 5 Koltuk,Beyaz,1595 cc,125 hp,7.1 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,192 km/s,790.000 TL
01 Aralık 2023,Opel,Corsa,1.3 CDTI Enjoy 111,2011,232.000 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1248 cc,75 hp,4.3 lt,1 boyalı,Tramer tutarı yok,163 km/s,515.000 TL
01 Aralık 2023,Dacia,Dokker,1.6 SCE Eco-G Ambiance,2020,83.900 km,Düz,LPG & Benzin,Camlı Van,Füme,1598 cc,110 hp,,Tamamı orjinal,Tramer tutarı belirtilmemiş,168 km/s,585.000 TL
01 Aralık 2023,Audi,A5,A5 Sportback 2.0 TDI Quattro,2014,157.000 km,Yarı Otomatik,Dizel,Hatchback/5. 5 Koltuk,Beyaz,1968 cc,177 hp,4.6 lt,1 değişen. 1 boyalı,Tramer  17.000 TL,228 km/s,1.520.000 TL
01 Aralık 2023,Mercedes - Benz,A,A 180 d AMG,2018,119.444 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1461 cc,116 hp,4.5 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,202 km/s,1.590.000 TL
01 Aralık 2023,Fiat,Punto,1.4 Dynamic,2006,206.444 km,Düz,Benzin,Hatchback/5,Gri,1368 cc,95 hp,6.6 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,178 km/s,375.000 TL
01 Aralık 2023,Nissan,Micra,1.2 Match,2017,85.604 km,Otomatik,Benzin,Hatchback/5,Kırmızı,1198 cc,80 hp,5.4 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,161 km/s,700.000 TL
01 Aralık 2023,Ford,Transit Custom,310 S Delux,2016,180.000 km,Düz,Dizel,Camlı Van,Beyaz,2198 cc,155 hp,,5 boyalı,Tramer tutarı yok,157 km/s,740.000 TL
01 Aralık 2023,Ford,Focus,1.6 TDCi Style,2012,198.000 km,Düz,Dizel,Sedan. 5 Koltuk,Gri (Gümüş),1560 cc,115 hp,4.2 lt,4 boyalı,Tramer  2.000 TL,193 km/s,665.000 TL
01 Aralık 2023,Citroen,C4,1.6 e-HDi Confort,2015,119.790 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1560 cc,117 hp,4 lt,1 değişen. 1 boyalı,Tramer tutarı belirtilmemiş,189 km/s,728.000 TL
01 Aralık 2023,Fiat,Stilo,1.6 Dynamic,2003,222.235 km,Düz,LPG & Benzin,Hatchback/5. 5 Koltuk,Gri (metalik),1596 cc,103 hp,7.4 lt,Belirtilmemiş,Tramer  1.900 TL,183 km/s,315.000 TL
01 Aralık 2023,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2015,189.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1598 cc,120 hp,4 lt,Tamamı orjinal,Tramer  19.000 TL,206 km/s,1.100.000 TL
01 Aralık 2023,Hyundai,Accent,1.3 LX,2001,208.000 km,Düz,LPG & Benzin,Sedan,Beyaz,1341 cc,86 hp,6.7 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,169 km/s,305.000 TL
01 Aralık 2023,Fiat,Punto,1.4 Mair Lounge S&S,2012,103.000 km,Düz,Benzin,Hatchback/5,Mavi (metalik),1368 cc,105 hp,5.7 lt,Belirtilmemiş,Tramer tutarı yok,185 km/s,575.000 TL
01 Aralık 2023,Fiat,Linea,1.6 Multijet Dynamic Plus,2011,257.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1598 cc,105 hp,5 lt,1 değişen,Tramer tutarı yok,190 km/s,445.000 TL
01 Aralık 2023,Ford,Focus,1.0 GTDi Style,2012,121.000 km,Düz,Benzin,Sedan,Kahverengi,999 cc,125 hp,5 lt,Belirtilmemiş,Bu araç ağır hasar kayıtlıdır.,193 km/s,590.000 TL
01 Aralık 2023,Mazda,323,1.6 GLX,1993,200.000 km,Düz,LPG & Benzin,Sedan,Şampanya,1597 cc,88 hp,,Tamamı orjinal,Tramer tutarı yok,,335.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Combi 1.4 Safeline,2010,270.000 km,Düz,Benzin,Camlı Van,Siyah,,,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,,320.000 TL
01 Aralık 2023,Hyundai,Accent,1.6 Admire,2004,232.000 km,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1599 cc,112 hp,8 lt,1 değişen. 7 boyalı,Tramer  16.000 TL,180 km/s,385.000 TL
01 Aralık 2023,Opel,Corsa,1.2 Twinport Active,2014,147.500 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1229 cc,85 hp,5.3 lt,Belirtilmemiş,Tramer  1.500 TL,172 km/s,575.000 TL
01 Aralık 2023,Toyota,Corolla,1.6 Life,2018,20.400 km,Düz,Benzin,Sedan,Beyaz,1598 cc,132 hp,6.3 lt,Belirtilmemiş,Tramer tutarı yok,200 km/s,945.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Combi 1.6 Multijet Premio,2012,247.000 km,Düz,Dizel,Camlı Van,Bordo,1598 cc,105 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,164 km/s,600.000 TL
01 Aralık 2023,Audi,A6,A6 Sedan 3.0 TDI Quattro,2005,177.660 km,Otomatik,Dizel,Sedan. 5 Koltuk,Siyah,2967 cc,233 hp,8.5 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,247 km/s,855.000 TL
01 Aralık 2023,Volkswagen,Golf,1.4 TSi Highline,2014,134.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Gri (metalik),1395 cc,122 hp,5.2 lt,2 değişen,Tramer  9.300 TL,203 km/s,805.000 TL
01 Aralık 2023,Fiat,Egea,1.4 Fire Urban Plus,2017,125.000 km,Düz,Benzin,Hatchback/5. 5 Koltuk,Beyaz,1368 cc,95 hp,5.7 lt,2 değişen,Tramer  3.700 TL,185 km/s,550.000 TL
01 Aralık 2023,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2016,202.000 km,Yarı Otomatik,Benzin,Sedan. 5 Koltuk,Siyah,1395 cc,125 hp,5 lt,2 boyalı,Tramer  1.250 TL,206 km/s,930.000 TL
01 Aralık 2023,Peugeot,3008,1.5 BlueHDI Allure Selection,2022,113.000 km,Otomatik,Dizel,Crossover,Turkuaz,1499 cc,132 hp,4.1 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,193 km/s,1.200.000 TL
01 Aralık 2023,Nissan,Qashqai,1.5 dCi Platinum,2011,305.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,106 hp,5.4 lt,Tamamı orjinal,Tramer tutarı Belirtilmemiş,174 km/s,650.000 TL
01 Aralık 2023,Toyota,Corolla,1.6 Sol,2003,260.000 km,Düz,Benzin,Sedan. 5 Koltuk,Beyaz,1598 cc,110 hp,7 lt,1 boyalı,Tramer tutarı Belirtilmemiş,190 km/s,412.500 TL
01 Aralık 2023,Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,2015,88.000 km,Otomatik,LPG & Benzin,Sedan,Beyaz,1368 cc,100 hp,6.4 lt,1 değişen,Tramer tutarı belirtilmemiş,185 km/s,740.000 TL
01 Aralık 2023,Volkswagen,Golf,1.2 TSi Comfortline,2016,6.950 km,Düz,Benzin,Hatchback/5,,1197 cc,110 hp,4.9 lt,Tamamı orjinal,Tramer tutarı yok,195 km/s,1.155.000 TL
01 Aralık 2023,Volkswagen,Polo,1.0 TSi Highline,2018,89.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,95 hp,4.6 lt,Tamamı orjinal,Tramer tutarı yok,187 km/s,925.000 TL
01 Aralık 2023,Hyundai,Tucson,1.6 CRDi Elite,2018,126.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1598 cc,136 hp,4.8 lt,Tamamı orjinal,Tramer tutarı yok,180 km/s,1.300.000 TL
01 Aralık 2023,Hyundai,i20,1.4 CRDi Sense,2012,112.511 km,Düz,Dizel,Hatchback/5,Gri (Gümüş),1396 cc,90 hp,4.3 lt,1 boyalı,Tramer tutarı yok,174 km/s,565.590 TL
01 Aralık 2023,Toyota,Yaris,1.5 Fun Special,2018,61.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1496 cc,111 hp,4.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,175 km/s,765.000 TL
01 Aralık 2023,Nissan,Micra,1.2 Tekna,2005,198.000 km,Otomatik,LPG & Benzin,Hatchback/5. 5 Koltuk,Kırmızı,1240 cc,80 hp,6.6 lt,1 değişen,Tramer tutarı yok,145 km/s,495.000 TL
01 Aralık 2023,Renault,Symbol,1.5 dCi Joy,2015,211.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1461 cc,75 hp,3.9 lt,3 boyalı,Tramer tutarı yok,164 km/s,540.000 TL
01 Aralık 2023,Ford,Tourneo Courier,1.5 TDCi Trend,2015,87.000 km,Düz,Dizel,Camlı Van,Gri (metalik),1498 cc,75 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,,700.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Cargo 1.6 Multijet Maxi Plus,2016,319.000 km,Düz,Dizel,Panel Van,Beyaz,1598 cc,105 hp,,Belirtilmemiş,Tramer tutarı yok,164 km/s,425.000 TL
01 Aralık 2023,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014,86.500 km,Yarı Otomatik,Dizel,Sedan,Bej,1598 cc,120 hp,4 lt,Belirtilmemiş,Tramer tutarı yok,206 km/s,1.395.000 TL
01 Aralık 2023,Volkswagen,Caddy,1.9 TDI,2006,302.000 km,Düz,Dizel,Camlı Van,Siyah,1896 cc,105 hp,,5 boyalı,Tramer tutarı yok,166 km/s,360.000 TL
01 Aralık 2023,Renault,Symbol,1.5 dCi Authentique,2012,180.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1461 cc,65 hp,4.5 lt,2 değişen. 7 boyalı,Tramer tutarı belirtilmemiş,160 km/s,460.000 TL
01 Aralık 2023,Volkswagen,Golf,1.6 Pacific,2004,184.000 km,Düz,LPG & Benzin,Hatchback/3,Beyaz,1595 cc,105 hp,6.8 lt,Tamamı orjinal,Tramer tutarı yok,192 km/s,500.000 TL
01 Aralık 2023,Renault,Megane,1.5 dCi Joy,2019,40.000 km,Düz,Dizel,Hatchback/5,,1461 cc,90 hp,3.7 lt,2 boyalı,Tramer tutarı Belirtilmemiş,174 km/s,900.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Cargo 1.3 Multijet Maxi,2014,155.763 km,Düz,Dizel,Panel Van,Sarı,1248 cc,90 hp,,5 değişen. 3 boyalı,Tramer  5.551 TL,156 km/s,345.000 TL
01 Aralık 2023,Renault,Kangoo Multix,1.5 dCi Authentique,2006,192.000 km,Düz,Dizel,Camlı Van,Beyaz,1461 cc,65 hp,,3 boyalı,Tramer  6.000 TL,146 km/s,420.000 TL
01 Aralık 2023,Dacia,Duster,1.5 dCi Laureate,2011,128.400 km,Düz,Dizel,Crossover,Siyah,1461 cc,85 hp,5.1 lt,3 boyalı,Tramer  1.115 TL,155 km/s,550.000 TL
01 Aralık 2023,Ford,Focus,1.6 Collection,2004,209.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1596 cc,100 hp,6.8 lt,1 değişen. 2 boyalı,Tramer  6.500 TL,185 km/s,445.000 TL
01 Aralık 2023,Fiat,Fiorino,Fiorino Combi 1.3 Multijet Emotion,2010,146.000 km,Düz,Dizel,Camlı Van,Siyah,1248 cc,75 hp,,1 değişen. 1 boyalı,Tramer  1.004 TL,155 km/s,400.000 TL
01 Aralık 2023,Nissan,Qashqai,1.5 dCi Tekna Sky Pack,2012,195.000 km,Düz,Dizel,Crossover,Mor,1461 cc,110 hp,5.1 lt,Belirtilmemiş,Tramer  4.500 TL,177 km/s,650.000 TL
01 Aralık 2023,Seat,Toledo,1.4 TDI Style,2016,133.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,3.8 lt,Belirtilmemiş,Tramer tutarı yok,185 km/s,744.900 TL
01 Aralık 2023,Renault,Clio,1.0 TCe Touch,2021,18.000 km,Otomatik,Benzin,Hatchback/5. 5 Koltuk,Mavi,999 cc,100 hp,5 lt,Tamamı orjinal,Tramer tutarı yok,182 km/s,832.750 TL
01 Aralık 2023,Toyota,Corolla,1.4 D-4D Advance,2014,186.400 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Beyaz,1364 cc,90 hp,4.1 lt,4 boyalı,Tramer tutarı belirtilmemiş,180 km/s,700.000 TL
01 Aralık 2023,Chevrolet,Cruze,1.6 LS,2010,164.000 km,Düz,LPG & Benzin,Sedan. 5 Koltuk,Gri (metalik),1598 cc,113 hp,6.8 lt,1 değişen. 7 boyalı,Tramer  2.400 TL,185 km/s,435.000 TL
01 Aralık 2023,Fiat,Punto,1.3 Multijet Easy,2012,225.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Gri (metalik),1248 cc,95 hp,4.2 lt,1 değişen. 11 boyalı,Tramer  7.650 TL,178 km/s,425.000 TL
01 Aralık 2023,Volkswagen,Jetta,1.6 Primeline,2008,245.000 km,Düz,Benzin,Sedan,Siyah,1595 cc,102 hp,7.4 lt,3 boyalı,Tramer tutarı Belirtilmemiş,186 km/s,600.000 TL
01 Aralık 2023,Ford,Focus,1.6 Ghia,2002,292.000 km,Düz,LPG & Benzin,Sedan. 5 Koltuk,Mavi,1596 cc,100 hp,6.8 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,185 km/s,385.000 TL
01 Aralık 2023,Fiat,Fiorino,Fiorino Combi 1.3 Multijet Emotion,2015,179.650 km,Düz,Dizel,Camlı Van,Siyah,1248 cc,75 hp,,Belirtilmemiş,Tramer tutarı Belirtilmemiş,155 km/s,525.000 TL
01 Aralık 2023,Skoda,Fabia,1.4 TDI Ambiente,2006,273.500 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Gri (Gümüş),1422 cc,80 hp,4.6 lt,6 boyalı,Tramer  650 TL,170 km/s,378.500 TL
01 Aralık 2023,Chevrolet,Aveo,1.2 SE,2011,204.586 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1206 cc,84 hp,5.5 lt,3 değişen. 3 boyalı,Tramer  4.750 TL,170 km/s,374.000 TL
01 Aralık 2023,Volkswagen,Passat,1.5 TSi Business,2020,90.000 km,Yarı Otomatik,Benzin,Sedan,Füme,1498 cc,150 hp,5.3 lt,Belirtilmemiş,Tramer tutarı Belirtilmemiş,213 km/s,1.255.000 TL
01 Aralık 2023,Fiat,Fiorino,Fiorino Combi 1.3 Multijet Premio,2020,51.500 km,Düz,Dizel,Camlı Van,Beyaz,1248 cc,95 hp,,Belirtilmemiş,Tramer tutarı yok,167 km/s,635.000 TL
01 Aralık 2023,Volkswagen,Passat,2.0 TDi BlueMotion Highline,2012,233.000 km,Yarı Otomatik,Dizel,Sedan. 5 Koltuk,Siyah,1968 cc,140 hp,5.2 lt,3 değişen. 5 boyalı,Tramer  11.883 TL,211 km/s,639.750 TL
